annotation_id,phrase_id,order,tokens,token_ids,tag,category,subcategory,type
PH-00001-A1,PH-00001,1,Mi,PH-00001-T1,POSS-GEN,Possessive,Genitive,
PH-00001-A2,PH-00001,2,gato,PH-00001-T2,NOUN-ANIM,Noun,Animate,Animate
PH-00001-A3,PH-00001,3,negro,PH-00001-T3,ADJ-INT-COLOR,Adjective,Intersective,Color
PH-00001-A4,PH-00001,4,pequeño,PH-00001-T4,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
PH-00002-A1,PH-00002,1,Un,PH-00002-T1,ART-INDEF,Article,Indefinite,
PH-00002-A2,PH-00002,2,gato,PH-00002-T2,NOUN-ANIM,Noun,Animate,Animate
PH-00002-A3,PH-00002,3,blanco,PH-00002-T3,ADJ-INT-COLOR,Adjective,Intersective,Color
PH-00002-A4,PH-00002,4,pequeño,PH-00002-T4,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
PH-00002-A5,PH-00002,5,en la calle,"PH-00002-T5, PH-00002-T6, PH-00002-T7",PP,Prepositional Phrase,,
PH-00003-A1,PH-00003,1,Muchos,PH-00003-T1,QUANT-EXIST,Quantifier,Existential,
PH-00003-A2,PH-00003,2,perros,PH-00003-T2,NOUN-ANIM,Noun,Animate,Animate
PH-00003-A3,PH-00003,3,grandes,PH-00003-T3,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
PH-00004-A1,PH-00004,1,Muchos,PH-00004-T1,QUANT-EXIST,Quantifier,Existential,
PH-00004-A2,PH-00004,2,perros,PH-00004-T2,NOUN-ANIM,Noun,Animate,Animate
PH-00004-A3,PH-00004,3,callejeros,PH-00004-T3,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
PH-00004-A4,PH-00004,4,en el refugio,"PH-00004-T4, PH-00004-T5, PH-00004-T6",PP,Prepositional Phrase,,
PH-00005-A1,PH-00005,1,Su,PH-00005-T1,POSS-GEN,Possessive,Genitive,
PH-00005-A2,PH-00005,2,nuevo,PH-00005-T2,ADJ-NINT-AGE,Adjective,Non-intersective,Age
