lex_id,sense_id,word_form,language,gloss,phrase_ids
LEX-0001,LEX-0001-S1,Mi,Spanish,my,PH-00001
LEX-0001,LEX-0001-S2,Mi,Spanish,GEN.1SG,PH-00017
LEX-0002,LEX-0002-S1,gato,Spanish,cat.MASC.SG,PH-00001; PH-00002
LEX-0003,LEX-0003-S1,negro,Spanish,black.MASC.SG,PH-00001
LEX-0004,LEX-0004-S1,pequeño,Spanish,small.MASC.SG,PH-00001; PH-00002
LEX-0005,LEX-0005-S1,Un,Spanish,a.MASC.SG,PH-00002; PH-00006; PH-00018; PH-00022
LEX-0006,LEX-0006-S1,blanco,Spanish,white.MASC.SG,PH-00002
LEX-0007,LEX-0007-S1,en,Spanish,in,PH-00002; PH-00004
LEX-0008,LEX-0008-S1,la,Spanish,the.FEM.SG,PH-00002; PH-00006; PH-00015; PH-00018
LEX-0009,LEX-0009-S1,calle,Spanish,street,PH-00002
LEX-0010,LEX-0010-S1,Muchos,Spanish,many.MASC.PL,PH-00003; PH-00004; PH-00009; PH-00010; PH-00016; PH-00023; PH-00024; PH-00026
LEX-0011,LEX-0011-S1,perros,Spanish,dog.MASC.PL,PH-00003; PH-00004
LEX-0012,LEX-0012-S1,grandes,Spanish,big.MASC.PL,PH-00003
LEX-0013,LEX-0013-S1,callejeros,Spanish,stray.MASC.PL,PH-00004
LEX-0014,LEX-0014-S1,el,Spanish,the.MASC.SG,PH-00004
LEX-0015,LEX-0015-S1,refugio,Spanish,shelter,PH-00004
LEX-0016,LEX-0016-S1,Su,Spanish,GEN.3SG,PH-00005
LEX-0016,LEX-0016-S2,Su,Spanish,GEN.3SG,PH-00024; PH-00025
LEX-0017,LEX-0017-S1,nuevo,Spanish,new.MASC.SG,PH-00005; PH-00006; PH-00017; PH-00018; PH-00025
LEX-0018,LEX-0018-S1,coche,Spanish,car,PH-00005; PH-00006; PH-00025
LEX-0019,LEX-0019-S1,rojo,Spanish,red.MASC.SG,PH-00005
LEX-0020,LEX-0020-S1,eléctrico,Spanish,electric.MASC.SG,PH-00006
LEX-0021,LEX-0021-S1,para,Spanish,for,PH-00006
LEX-0022,LEX-0022-S1,familia,Spanish,family,PH-00006
LEX-0023,LEX-0023-S1,Mis,Spanish,GEN.PL,PH-00007
LEX-0024,LEX-0024-S1,zapatos,Spanish,shoe.PL,PH-00007; PH-00008
LEX-0025,LEX-0025-S1,marrones,Spanish,brown.PL,PH-00007
LEX-0026,LEX-0026-S1,viejos,Spanish,old.MASC.PL,PH-00007; PH-00008
LEX-0027,LEX-0027-S1,Unos,Spanish,a.MASC.PL,PH-00008
LEX-0028,LEX-0028-S1,negros,Spanish,black.MASC.PL,PH-00008
LEX-0029,LEX-0029-S1,libros,Spanish,book.MASC.PL,PH-00009; PH-00010
LEX-0030,LEX-0030-S1,interesantes,Spanish,interesting.PL,PH-00009
LEX-0031,LEX-0031-S1,antiguos,Spanish,antique.MASC.PL,PH-00010
LEX-0032,LEX-0032-S1,sobre,Spanish,about,PH-00010
LEX-0033,LEX-0033-S1,historia,Spanish,history,PH-00010
LEX-0034,LEX-0034-S2,Tu,Spanish,GEN.2SG,PH-00014
