tokenId,phraseId,position,wordForm,lexId,senseId,gloss
PH-00001-T1,PH-00001,1,Mi,LEX-0001,LEX-0001-S1,my
PH-00001-T2,PH-00001,2,gato,LEX-0002,LEX-0002-S1,cat.MASC.SG
PH-00001-T3,PH-00001,3,negro,LEX-0003,LEX-0003-S1,black.MASC.SG
PH-00001-T4,PH-00001,4,pequeño,LEX-0004,LEX-0004-S1,small.MASC.SG
PH-00002-T1,PH-00002,1,Un,LEX-0005,LEX-0005-S1,a.MASC.SG
PH-00002-T2,PH-00002,2,gato,LEX-0002,LEX-0002-S1,cat.MASC.SG
PH-00002-T3,PH-00002,3,blanco,LEX-0006,LEX-0006-S1,white.MASC.SG
PH-00002-T4,PH-00002,4,pequeño,LEX-0004,LEX-0004-S1,small.MASC.SG
PH-00002-T5,PH-00002,5,en,LEX-0007,LEX-0007-S1,in
PH-00002-T6,PH-00002,6,la,LEX-0008,LEX-0008-S1,the.FEM.SG
PH-00002-T7,PH-00002,7,calle,LEX-0009,LEX-0009-S1,street
PH-00003-T1,PH-00003,1,Muchos,LEX-0010,LEX-0010-S1,many.MASC.PL
PH-00003-T2,PH-00003,2,perros,LEX-0011,LEX-0011-S1,dog.MASC.PL
PH-00003-T3,PH-00003,3,grandes,LEX-0012,LEX-0012-S1,big.MASC.PL
PH-00004-T1,PH-00004,1,Muchos,LEX-0010,LEX-0010-S1,many.MASC.PL
PH-00004-T2,PH-00004,2,perros,LEX-0011,LEX-0011-S1,dog.MASC.PL
PH-00004-T3,PH-00004,3,callejeros,LEX-0013,LEX-0013-S1,stray.MASC.PL
PH-00004-T4,PH-00004,4,en,LEX-0007,LEX-0007-S1,in
PH-00004-T5,PH-00004,5,el,LEX-0014,LEX-0014-S1,the.MASC.SG
PH-00004-T6,PH-00004,6,refugio,LEX-0015,LEX-0015-S1,shelter
PH-00005-T1,PH-00005,1,Su,LEX-0016,LEX-0016-S1,GEN.3SG.SG
PH-00005-T2,PH-00005,2,nuevo,LEX-0017,LEX-0017-S1,new.MASC.SG
PH-00005-T3,PH-00005,3,coche,LEX-0018,LEX-0018-S1,car
PH-00005-T4,PH-00005,4,rojo,LEX-0019,LEX-0019-S1,red.MASC.SG
PH-00006-T1,PH-00006,1,Un,LEX-0005,LEX-0005-S1,a.MASC.SG
PH-00006-T2,PH-00006,2,nuevo,LEX-0017,LEX-0017-S1,new.MASC.SG
PH-00006-T3,PH-00006,3,coche,LEX-0018,LEX-0018-S1,car
PH-00006-T4,PH-00006,4,eléctrico,LEX-0020,LEX-0020-S1,electric.MASC.SG
PH-00006-T5,PH-00006,5,para,LEX-0021,LEX-0021-S1,for
PH-00006-T6,PH-00006,6,la,LEX-0008,LEX-0008-S1,the.FEM.SG
PH-00006-T7,PH-00006,7,familia,LEX-0022,LEX-0022-S1,family
PH-00007-T1,PH-00007,1,Mis,LEX-0023,LEX-0023-S1,GEN.PL
PH-00007-T2,PH-00007,2,zapatos,LEX-0024,LEX-0024-S1,shoe.PL
PH-00007-T3,PH-00007,3,marrones,LEX-0025,LEX-0025-S1,brown.PL
PH-00007-T4,PH-00007,4,viejos,LEX-0026,LEX-0026-S1,old.MASC.PL
PH-00008-T1,PH-00008,1,Unos,LEX-0027,LEX-0027-S1,a.MASC.PL
PH-00008-T2,PH-00008,2,zapatos,LEX-0024,LEX-0024-S1,shoe.PL
PH-00008-T3,PH-00008,3,negros,LEX-0028,LEX-0028-S1,black.MASC.PL
PH-00008-T4,PH-00008,4,viejos,LEX-0026,LEX-0026-S1,old.MASC.PL
PH-00009-T1,PH-00009,1,Muchos,LEX-0010,LEX-0010-S1,many.MASC.PL
PH-00009-T2,PH-00009,2,libros,LEX-0029,LEX-0029-S1,book.MASC.PL
PH-00009-T3,PH-00009,3,interesantes,LEX-0030,LEX-0030-S1,interesting.PL
PH-00010-T1,PH-00010,1,Muchos,LEX-0010,LEX-0010-S1,many.MASC.PL
PH-00010-T2,PH-00010,2,libros,LEX-0029,LEX-0029-S1,book.MASC.PL
PH-00010-T3,PH-00010,3,antiguos,LEX-0031,LEX-0031-S1,antique.MASC.PL
PH-00010-T4,PH-00010,4,sobre,LEX-0032,LEX-0032-S1,about
PH-00010-T5,PH-00010,5,historia,LEX-0033,LEX-0033-S1,history
PH-00012-T1,PH-00012,1,Una,LEX-0038,LEX-0038-S1,a.FEM.SG
PH-00012-T2,PH-00012,2,casa,LEX-0035,LEX-0035-S1,house
PH-00012-T3,PH-00012,3,moderna,LEX-0039,LEX-0039-S1,modern.FEM.SG
PH-00012-T4,PH-00012,4,grande,LEX-0037,LEX-0037-S1,big
PH-00012-T5,PH-00012,5,con,LEX-0040,LEX-0040-S1,with
PH-00012-T6,PH-00012,6,jardín,LEX-0041,LEX-0041-S1,garden
PH-00013-T1,PH-00013,1,Nuestra,LEX-0042,LEX-0042-S1,GEN.1PL
PH-00013-T2,PH-00013,2,mesa,LEX-0043,LEX-0043-S1,table
PH-00013-T3,PH-00013,3,redonda,LEX-0044,LEX-0044-S1,round.FEM.SG
PH-00013-T4,PH-00013,4,pequeña,LEX-0045,LEX-0045-S1,small.FEM.SG
PH-00014-T1,PH-00014,1,Tu,LEX-0034,LEX-0034-S2,GEN.2SG
PH-00014-T2,PH-00014,2,casa,LEX-0035,LEX-0035-S1,house
PH-00014-T3,PH-00014,3,blanca,LEX-0036,LEX-0036-S1,white.FEM.SG
PH-00014-T4,PH-00014,4,grande,LEX-0037,LEX-0037-S1,big
PH-00015-T1,PH-00015,1,La,LEX-0008,LEX-0008-S1,the.FEM.SG
PH-00015-T2,PH-00015,2,mesa,LEX-0043,LEX-0043-S1,table
PH-00015-T3,PH-00015,3,cuadrada,LEX-0046,LEX-0046-S1,squared.FEM.SG
PH-00015-T4,PH-00015,4,pequeña,LEX-0045,LEX-0045-S1,small.FEM.SG
PH-00016-T1,PH-00016,1,Muchos,LEX-0010,LEX-0010-S1,many.MASC.PL
PH-00016-T2,PH-00016,2,niños,LEX-0047,LEX-0047-S1,child.PL
PH-00016-T3,PH-00016,3,felices,LEX-0048,LEX-0048-S1,happy.PL
PH-00017-T1,PH-00017,1,Mi,LEX-0001,LEX-0001-S2,GEN.1SG
PH-00017-T2,PH-00017,2,amigo,LEX-0049,LEX-0049-S1,friend.MASC.SG
PH-00017-T3,PH-00017,3,francés,LEX-0050,LEX-0050-S1,French.MASC.SG
PH-00017-T4,PH-00017,4,nuevo,LEX-0017,LEX-0017-S1,new.MASC.SG
PH-00018-T1,PH-00018,1,Un,LEX-0005,LEX-0005-S1,a.MASC.SG
PH-00018-T2,PH-00018,2,amigo,LEX-0049,LEX-0049-S1,friend.MASC.SG
PH-00018-T3,PH-00018,3,especial,LEX-0051,LEX-0051-S1,special.SG
PH-00018-T4,PH-00018,4,nuevo,LEX-0017,LEX-0017-S1,new.MASC.SG
PH-00018-T5,PH-00018,5,de,LEX-0052,LEX-0052-S1,of
PH-00018-T6,PH-00018,6,la,LEX-0008,LEX-0008-S1,the.FEM.SG
PH-00018-T7,PH-00018,7,universidad,LEX-0053,LEX-0053-S1,university
PH-00019-T1,PH-00019,1,Sus,LEX-0054,LEX-0054-S1,GEN.PL
PH-00019-T2,PH-00019,2,flores,LEX-0055,LEX-0055-S1,flower.PL
PH-00019-T3,PH-00019,3,amarillas,LEX-0056,LEX-0056-S1,yellow.FEM.PL
PH-00019-T4,PH-00019,4,pequeñas,LEX-0057,LEX-0057-S1,small.FEM.PL
PH-00020-T1,PH-00020,1,Unas,LEX-0058,LEX-0058-S1,a.FEM.PL
PH-00020-T2,PH-00020,2,flores,LEX-0055,LEX-0055-S1,flower.PL
PH-00020-T3,PH-00020,3,silvestres,LEX-0059,LEX-0059-S1,wild.PL
PH-00020-T4,PH-00020,4,pequeñas,LEX-0057,LEX-0057-S1,small.FEM.PL
PH-00021-T1,PH-00021,1,Nuestro,LEX-0060,LEX-0060-S1,GEN.1PL
PH-00021-T2,PH-00021,2,perro,LEX-0061,LEX-0061-S1,dog.MASC.SG
PH-00021-T3,PH-00021,3,gris,LEX-0062,LEX-0062-S1,grey
PH-00021-T4,PH-00021,4,viejo,LEX-0063,LEX-0063-S1,old.MASC.SG
PH-00022-T1,PH-00022,1,Un,LEX-0005,LEX-0005-S1,a.MASC.SG
PH-00022-T2,PH-00022,2,perro,LEX-0061,LEX-0061-S1,dog.MASC.SG
PH-00022-T3,PH-00022,3,ciego,LEX-0064,LEX-0064-S1,blind.MASC.SG
PH-00022-T4,PH-00022,4,viejo,LEX-0063,LEX-0063-S1,old.MASC.SG
PH-00022-T5,PH-00022,5,del,LEX-0065,LEX-0065-S1,of.the.MASC.SG
PH-00022-T6,PH-00022,6,parque,LEX-0066,LEX-0066-S1,park
PH-00023-T1,PH-00023,1,Muchos,LEX-0010,LEX-0010-S1,many.MASC.PL
PH-00023-T2,PH-00023,2,sueños,LEX-0067,LEX-0067-S1,dream.PL
PH-00023-T3,PH-00023,3,raros,LEX-0068,LEX-0068-S1,strange.MASC.PL
PH-00024-T1,PH-00024,1,Muchos,LEX-0010,LEX-0010-S1,many.MASC.PL
PH-00024-T2,PH-00024,2,sueños,LEX-0067,LEX-0067-S1,dream.PL
PH-00024-T3,PH-00024,3,vividos,LEX-0069,LEX-0069-S1,lived.MASC.PL
PH-00024-T4,PH-00024,4,de,LEX-0052,LEX-0052-S1,of
PH-00024-T5,PH-00024,5,su,LEX-0016,LEX-0016-S2,GEN.3SG
PH-00024-T6,PH-00024,6,infancia,LEX-0070,LEX-0070-S1,childhood
PH-00025-T1,PH-00025,1,Su,LEX-0016,LEX-0016-S2,GEN.3SG
PH-00025-T2,PH-00025,2,coche,LEX-0018,LEX-0018-S1,car
PH-00025-T3,PH-00025,3,azul,LEX-0071,LEX-0071-S1,blue
PH-00025-T4,PH-00025,4,nuevo,LEX-0017,LEX-0017-S1,new.MASC.SG
PH-00026-T1,PH-00026,1,Muchos,LEX-0010,LEX-0010-S1,many.MASC.PL
PH-00026-T2,PH-00026,2,niños,LEX-0047,LEX-0047-S1,child.PL
PH-00026-T3,PH-00026,3,pequeños,LEX-0072,LEX-0072-S1,small.MASC.SG
